family_id,title,historical_role,core_adoption,reason_code,reason,scope_decision,historical_locator,claim_ids
WF-0328,Wuying-Browser-Agent: Real-World Centric Fundamental Long-Horizon Browser Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=context_management,
WF-0332,CONTRAMEM: Learning Self-Evolving Procedural Memory from Contrasting Multi-Model Trajectories,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_types,
WF-0333,CausalCache: Conditional High-Fidelity Restoration for Long-Horizon GUI Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-015, PC-071.",see_claim_scope,PDF p.1; body context; pattern=history_management,PC-015;PC-071
WF-0334,MobilePA-Bench: Benchmarking Mobile Planner Agents on Complex Real-World Tasks,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=memory_architecture,
WF-0336,Task-Adaptive Rubrics for GUI Reward Modeling,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0339,Large Language Models Empowered Personalized Web Agents,primary_study,adopted,A,Selected for page-anchored claims PC-050.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-050
WF-0346,Beyond Static GUI Agent: Evolving LLM-based GUI Testing via Dynamic Memory,primary_study,adopted,A,"Selected for page-anchored claims PC-045, PC-046.",see_claim_scope,PDF p.2; body context; pattern=memory_architecture,PC-045;PC-046
WF-0348,AgentExplorer: Parallel Online Exploration for Enhancing On-Device Mobile GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0350,WebSurfer: Enhancing LLM Agents with Web-Wise Feedback for Web Navigation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=memory_architecture,
WF-0351,BEAP-Agent: Backtrackable Execution and Adaptive Planning for GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0364,Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=memory_types,
WF-0371,Log2Plan: An Adaptive GUI Automation Framework Integrated with Task Mining Approach,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=context_management,
WF-0372,"A Platform-Aware Survey of Execution, Verification, and Risk of Graphical User Interface Agents",secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=memory_benchmark,
WF-0373,Graph-Structured Persistent Memory for Efficient LLM-Based Computer Use Agents,primary_study,adopted,A,Selected for page-anchored claims PC-033.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-033
WF-0389,VLM Agents Generate Their Own Memories: Distilling Experience into Embodied Programs of Thought,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_architecture,
WF-0390,Windows Agent Arena: Evaluating Multi-Modal OS Agents at Scale,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.30; body context; pattern=memory_architecture,
WF-0392,GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_architecture,
WF-0395,MemAgent: A cache-inspired framework for augmenting conversational Web Agents with task-specific information,primary_study,adopted,A,Selected for page-anchored claims PC-024.,see_claim_scope,PDF p.2; body context; pattern=memory_types,PC-024
WF-0413,AgentProg: Empowering Long-Horizon GUI Agents with Program-guided Context Management,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.11; body context; pattern=context_management,
WF-0419,"WAB: Overcoming Memory, Network, and Security Walls in Native Agentic Browsers with WebAssembly",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=history_management,
WF-0430,Agent-SAMA: State-Aware Mobile Assistant,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=persistent_state,
WF-0431,History-Aware Reasoning for GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.7; body context; pattern=memory_types,
WF-0433,On the Multi-turn Instruction Following for Conversational Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
WF-0439,"R2D2: Remembering, Replaying and Dynamic Decision Making with a Reflective Agentic Memory",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_types,
WF-0441,GUI-explorer: Autonomous Exploration and Mining of Transition-aware Knowledge for GUI Agent,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=trajectory_reuse,
WF-0443,Browsing Like Human: A Multimodal Web Agent with Experiential Fast-and-Slow Thinking,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=history_management,
WF-0450,MMInA: Benchmarking Multihop Multimodal Internet Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_benchmark,
WF-0451,LiteWebAgent: The Open-Source Suite for VLM-Based Web-Agent Applications,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=recovery,
WF-0452,MOBA: Multifaceted Memory-Enhanced Adaptive Planning for Efficient Mobile Task Automation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
WF-0455,WebRollback: Enhancing Web Agents with Explicit Rollback Mechanisms,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=recovery,
WF-0460,IntentCUA: Learning Intent-level Representations for Skill Abstraction and Multi-Agent Planning in Computer-Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
WF-0469,AGENT S: AN OPEN AGENTIC FRAMEWORK THAT USES COMPUTERS LIKE A HUMAN,primary_study,adopted,A,Selected for page-anchored claims PC-044.,see_claim_scope,PDF p.9; body context; pattern=memory_architecture,PC-044
WF-0470,BrowserAgent: Building Web Agents with Human-Inspired Web Browsing Actions,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
WF-0479,Large Language Model-Brained GUI Agents: A Survey,secondary_context,adopted,A,Selected for page-anchored claims PC-064.,see_claim_scope,PDF p.6; body context; pattern=memory_architecture,PC-064
WF-0481,Learning from Online Videos at Inference Time for Computer-Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=context_management,
WF-0487,Symbiotic Cooperation for Web Agents: Harnessing Complementary Strengths of Large and Small LLMs,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.18; body context; pattern=history_management,
WF-0490,Tree Search for Language Model Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0491,VIDEOWEBARENA: EVALUATING LONG CONTEXT MULTIMODAL AGENTS WITH VIDEO UNDERSTANDING WEB TASKS,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_benchmark,
WF-0494,WEB AGENTS WITH WORLD MODELS: LEARNING AND LEVERAGING ENVIRONMENT DYNAMICS IN WEB NAVIGATION,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=persistent_state,
